depth (m),RAPS (ohm.m),time (kyr),uncertainty (kyr)
321,11.6,964.28,44.21
321.1,11.9,962.72,44.18
321.2,12.4,961.17,44.14
321.3,13,959.61,44.1
321.4,13.6,958.06,44.07
321.5,14.1,956.51,44.03
321.6,14.4,954.95,44
321.7,14.4,953.4,43.96
321.8,14.1,951.84,43.93
321.9,13.6,950.29,43.89
322,13,948.74,43.85
322.1,12.5,947.18,43.82
322.2,12.2,945.63,43.78
322.3,12,944.07,43.75
322.4,11.9,942.5,43.71
322.5,11.8,940.91,43.67
322.6,11.8,939.32,43.64
322.7,11.9,937.73,43.6
322.8,12,936.14,43.56
322.9,12.2,934.55,43.52
323,12.3,932.95,43.49
323.1,12.5,931.36,43.45
323.2,12.7,929.77,43.41
323.3,12.9,928.18,43.38
323.4,13,926.59,43.34
323.5,13,925,43.3
323.6,12.9,923.41,43.26
323.7,12.7,921.82,43.23
323.8,12.4,920.23,43.19
323.9,12.1,918.64,43.15
324,11.9,917.04,43.11
324.1,11.7,915.45,43.08
324.2,11.6,913.86,43.04
324.3,11.5,912.27,43
324.4,11.5,910.68,42.96
324.5,11.5,909.09,42.93
324.6,11.6,907.5,42.89
324.7,11.6,905.89,42.85
324.8,11.6,904.26,42.81
324.9,11.5,902.63,42.77
325,11.6,901.01,42.74
325.1,11.7,899.38,42.7
325.2,11.8,897.75,42.66
325.3,11.8,896.12,42.62
325.4,11.7,894.49,42.58
325.5,11.6,892.87,42.54
325.6,11.3,891.24,42.5
325.7,11.2,889.61,42.46
325.8,11,887.98,42.43
325.9,10.9,886.35,42.39
326,10.8,884.73,42.35
326.1,10.8,883.1,42.31
326.2,10.8,881.47,42.27
326.3,10.8,879.84,42.23
326.4,10.9,878.21,42.19
326.5,11.1,876.59,42.15
326.6,11.3,874.96,42.11
326.7,11.6,873.33,42.07
326.8,11.6,871.7,42.04
326.9,11.6,870.07,42
327,11.3,868.45,41.96
327.1,11.1,866.82,41.92
327.2,10.8,865.19,41.88
327.3,10.6,863.56,41.84
327.4,10.7,861.91,41.8
327.5,11,860.25,41.76
327.6,11.5,858.58,41.72
327.7,11.7,856.92,41.68
327.8,11.8,855.25,41.64
327.9,11.8,853.59,41.6
328,11.7,851.92,41.56
328.1,11.6,850.26,41.52
328.2,11.3,848.59,41.47
328.3,11.2,846.93,41.43
328.4,11.1,845.26,41.39
328.5,11.1,843.6,41.35
328.6,11.1,841.95,41.31
328.7,11.2,840.33,41.27
328.8,11.5,838.7,41.23
328.9,11.8,837.07,41.19
329,12.1,835.44,41.15
329.1,12.4,833.81,41.11
329.2,12.6,832.19,41.07
329.3,12.7,830.56,41.03
329.4,12.7,828.93,40.99
329.5,12.7,827.3,40.95
329.6,12.7,825.67,40.91
329.7,12.7,824.05,40.87
329.8,12.7,822.42,40.83
329.9,12.7,820.79,40.79
330,12.6,819.16,40.75
330.1,12.5,817.53,40.71
330.2,12.4,815.91,40.67
330.3,12.4,814.28,40.63
330.4,12.5,812.65,40.59
330.5,12.6,811.02,40.55
330.6,12.8,809.39,40.51
330.7,13,807.77,40.46
330.8,13.3,806.14,40.42
330.9,13.5,804.51,40.38
331,13.6,802.88,40.34
331.1,13.6,801.25,40.3
331.2,13.5,799.63,40.26
331.3,13.3,798,40.22
331.4,13,796.37,40.18
331.5,12.7,794.72,40.14
331.6,12.5,793.06,40.09
331.7,12.3,791.39,40.05
331.8,12.1,789.73,40.01
331.9,11.9,788.04,39.97
332,11.7,786.34,39.92
332.1,11.5,784.64,39.88
332.2,11.2,782.94,39.84
332.3,11.1,781.24,39.79
332.4,11,779.53,39.75
332.5,10.9,777.83,39.71
332.6,10.9,776.13,39.66
332.7,11,774.43,39.62
332.8,11.1,772.73,39.58
332.9,11.1,771.02,39.53
333,11.1,769.32,39.49
333.1,11.2,767.62,39.45
333.2,11.3,765.92,39.4
333.3,11.6,764.22,39.36
333.4,11.7,762.51,39.31
333.5,11.9,760.81,39.27
333.6,12.1,759.11,39.23
333.7,12.4,757.41,39.18
333.8,12.7,755.71,39.14
333.9,13,754,39.09
334,13.3,752.3,39.05
334.1,13.5,750.6,39.01
334.2,13.7,748.9,38.96
334.3,13.7,747.2,38.92
334.4,13.6,745.49,38.87
334.5,13.3,743.79,38.83
334.6,13,742.09,38.78
334.7,12.8,740.39,38.74
334.8,12.6,738.69,38.7
334.9,12.6,736.98,38.65
335,12.6,735.28,38.61
335.1,12.8,733.58,38.56
335.2,13,731.88,38.52
335.3,13.2,730.18,38.47
335.4,13.3,728.47,38.43
335.5,13.3,726.77,38.38
335.6,13.3,725.07,38.34
335.7,13.3,723.37,38.29
335.8,13.3,721.67,38.25
335.9,13.3,719.96,38.2
336,13.4,718.26,38.16
336.1,13.5,716.56,38.11
336.2,13.6,714.86,38.07
336.3,13.6,713.16,38.02
336.4,13.6,711.45,37.98
336.5,13.5,709.75,37.93
336.6,13.4,708.05,37.88
336.7,13.2,706.35,37.84
336.8,13,704.65,37.79
336.9,12.8,702.94,37.75
337,12.7,701.24,37.7
337.1,12.6,699.54,37.66
337.2,12.5,697.84,37.61
337.3,12.5,696.14,37.56
337.4,12.6,694.43,37.52
337.5,12.7,692.73,37.47
337.6,12.7,691.03,37.43
337.7,12.8,689.33,37.38
337.8,13,687.63,37.33
337.9,13.3,685.92,37.29
338,13.5,684.22,37.24
338.1,13.6,682.52,37.2
338.2,13.6,680.82,37.15
338.3,13.6,679.12,37.1
338.4,13.6,677.41,37.06
338.5,13.6,675.71,37.01
338.6,13.5,674.01,36.96
338.7,13.4,672.31,36.92
338.8,13.3,670.61,36.87
338.9,13.2,668.9,36.82
339,13,667.2,36.78
339.1,12.7,665.5,36.73
339.2,12.5,663.8,36.68
339.3,12.3,662.1,36.63
339.4,12.2,660.39,36.59
339.5,12,658.69,36.54
339.6,11.9,656.99,36.49
339.7,11.7,655.29,36.45
339.8,11.6,653.59,36.4
339.9,11.6,651.88,36.35
340,11.9,650.18,36.3
340.1,12.3,648.48,36.26
340.2,12.7,646.78,36.21
340.3,13.1,645.08,36.16
340.4,13.4,643.37,36.11
340.5,13.6,641.67,36.07
340.6,13.6,639.97,36.02
340.7,13.6,638.27,35.97
340.8,13.5,636.57,35.92
340.9,13.4,634.86,35.87
341,13.3,633.16,35.83
341.1,13.3,631.46,35.78
341.2,13.2,629.76,35.73
341.3,13.1,628.06,35.68
341.4,12.9,626.35,35.63
341.5,12.8,624.65,35.58
341.6,12.7,622.95,35.54
341.7,12.7,621.25,35.49
341.8,12.7,619.55,35.44
341.9,12.7,617.84,35.39
342,12.8,616.14,35.34
342.1,12.9,614.44,35.29
342.2,13.1,612.74,35.24
342.3,13.4,611.04,35.19
342.4,13.9,609.33,35.14
342.5,14.7,607.63,35.1
342.6,15.6,605.93,35.05
342.7,16.5,604.23,35
342.8,17.2,602.53,34.95
342.9,17.4,600.82,34.9
343,17.2,599.12,34.85
343.1,16.7,597.42,34.8
343.2,16.1,595.72,34.75
343.3,15.6,594.02,34.7
343.4,15.2,592.31,34.65
343.5,15,590.61,34.6
343.6,14.8,588.91,34.55
343.7,14.5,587.21,34.5
343.8,14.2,585.51,34.45
343.9,13.9,583.8,34.4
344,13.6,582.1,34.35
344.1,13.2,580.4,34.3
344.2,12.9,578.7,34.25
344.3,12.6,577,34.2
344.4,12.6,575.29,34.15
344.5,12.7,573.59,34.1
344.6,13.1,571.89,34.05
344.7,13.5,570.19,34
344.8,14.1,568.49,33.95
344.9,14.8,566.78,33.9
345,15.4,565.08,33.84
345.1,15.7,563.38,33.79
345.2,15.6,561.68,33.74
345.3,15.3,559.98,33.69
345.4,15,558.27,33.64
345.5,15.1,556.57,33.59
345.6,15.5,554.87,33.54
345.7,16.2,553.17,33.49
345.8,16.8,551.47,33.43
345.9,17,549.76,33.38
346,16.6,548.06,33.33
346.1,15.6,546.36,33.28
346.2,14.2,544.66,33.23
346.3,13,542.96,33.18
346.4,12.2,541.25,33.12
346.5,12,539.55,33.07
346.6,12.2,537.85,33.02
346.7,12.7,536.15,32.97
346.8,13.3,534.45,32.91
346.9,13.9,532.74,32.86
347,14.4,531.04,32.81
347.1,14.8,529.34,32.76
347.2,14.9,527.64,32.7
347.3,15,525.94,32.65
347.4,15.2,524.23,32.6
347.5,15.4,522.53,32.55
347.6,15.5,520.83,32.49
347.7,15.5,519.13,32.44
347.8,15.3,517.43,32.39
347.9,14.9,515.72,32.33
348,14.2,514.02,32.28
348.1,13.6,512.32,32.23
348.2,13.1,510.62,32.17
348.3,12.7,508.92,32.12
348.4,12.5,507.21,32.06
348.5,12.5,505.51,32.01
348.6,12.7,503.81,31.96
348.7,13,502.11,31.9
348.8,13.3,500.41,31.85
348.9,13.5,498.7,31.79
349,13.7,497,31.74
349.1,13.9,495.3,31.69
349.2,14.2,493.6,31.63
349.3,14.5,491.9,31.58
349.4,14.8,490.19,31.52
349.5,14.8,488.49,31.47
349.6,14.4,486.79,31.41
349.7,14,485.09,31.36
349.8,13.5,483.39,31.3
349.9,13.1,481.7,31.25
350,12.7,480.04,31.19
350.1,12.6,478.37,31.14
350.2,12.7,476.71,31.09
350.3,13.1,475.04,31.03
350.4,13.7,473.38,30.98
350.5,14.4,471.71,30.92
350.6,14.9,470.05,30.87
350.7,14.8,468.38,30.81
350.8,14.1,466.72,30.76
350.9,13.3,465.05,30.7
351,12.4,463.39,30.65
351.1,11.5,461.72,30.59
351.2,10.8,460.06,30.54
351.3,10.5,458.39,30.48
351.4,10.5,456.73,30.43
351.5,10.5,455.06,30.37
351.6,10.5,453.4,30.32
351.7,10.5,451.73,30.26
351.8,10.5,450.07,30.2
351.9,10.5,448.4,30.15
352,10.6,446.74,30.09
352.1,10.8,445.07,30.04
352.2,11.1,443.41,29.98
352.3,11.3,441.74,29.92
352.4,11.5,440.08,29.87
352.5,11.5,438.41,29.81
352.6,11.5,436.75,29.75
352.7,11.5,435.08,29.7
352.8,11.5,433.42,29.64
352.9,11.3,431.75,29.58
353,11.1,430.09,29.53
353.1,10.8,428.42,29.47
353.2,10.6,426.76,29.41
353.3,10.6,425.09,29.35
353.4,10.7,423.43,29.3
353.5,10.8,421.76,29.24
353.6,10.9,420.1,29.18
353.7,10.9,418.43,29.12
353.8,10.9,416.77,29.07
353.9,10.8,415.1,29.01
354,10.8,413.44,28.95
354.1,10.8,411.77,28.89
354.2,10.9,410.11,28.83
354.3,11.2,408.44,28.77
354.4,11.7,406.78,28.71
354.5,12.3,405.11,28.66
354.6,12.9,403.45,28.6
354.7,13.5,401.78,28.54
354.8,14,400.12,28.48
354.9,14.4,398.45,28.42
355,14.7,396.79,28.36
355.1,14.4,395.12,28.3
355.2,13.9,393.46,28.24
355.3,13.2,391.79,28.18
355.4,12.5,390.13,28.12
355.5,11.8,388.46,28.06
355.6,11.2,386.8,28
355.7,11,385.13,27.94
355.8,11.1,383.47,27.88
355.9,11.6,381.8,27.82
356,12.1,380.14,27.76
356.1,12.6,378.47,27.7
356.2,13,376.81,27.64
356.3,13.2,375.14,27.58
356.4,13.3,373.48,27.51
356.5,13.2,371.81,27.45
356.6,13.1,370.15,27.39
356.7,13.1,368.48,27.33
356.8,13.2,366.82,27.27
356.9,13.4,365.15,27.21
357,13.6,363.49,27.14
357.1,13.9,361.82,27.08
357.2,14.1,360.16,27.02
357.3,14.1,358.49,26.96
357.4,14,356.83,26.89
357.5,13.9,355.16,26.83
357.6,14,353.5,26.77
357.7,14.2,351.83,26.71
357.8,14.5,350.17,26.64
357.9,14.9,348.5,26.58
358,15.3,346.84,26.52
358.1,15.7,345.17,26.45
358.2,16.2,343.51,26.39
358.3,16.6,341.84,26.32
358.4,17,340.18,26.26
358.5,17.2,338.51,26.19
358.6,17.3,336.85,26.13
358.7,17.3,335.18,26.07
358.8,17.2,333.52,26
358.9,17.1,331.85,25.94
359,16.9,330.19,25.87
359.1,16.7,328.52,25.81
359.2,16.4,326.86,25.74
359.3,16.1,325.19,25.67
359.4,16,323.53,25.61
359.5,16.1,321.86,25.54
359.6,16.6,320.2,25.48
359.7,17.4,318.53,25.41
359.8,18.6,316.87,25.34
359.9,19.7,315.2,25.28
360,20.6,313.54,25.21
360.1,21.2,311.87,25.14
360.2,21,310.21,25.08
360.3,20.3,308.54,25.01
360.4,19.1,306.88,24.94
360.5,17.7,305.21,24.87
360.6,16.5,303.55,24.81
360.7,15.7,301.88,24.74
360.8,15.3,300.22,24.67
360.9,15.4,298.55,24.6
361,16,296.89,24.53
361.1,17,295.22,24.46
361.2,18.2,293.56,24.39
361.3,19.2,291.89,24.32
361.4,20,290.23,24.25
361.5,20.7,288.56,24.19
361.6,21.4,286.9,24.12
361.7,21.9,285.23,24.05
361.8,22.5,283.57,23.97
361.9,23.3,281.9,23.9
362,24.2,280.24,23.83
362.1,25.1,278.57,23.76
362.2,25.6,276.91,23.69
362.3,25.9,275.24,23.62
362.4,25.8,273.58,23.55
362.5,25.7,271.91,23.48
362.6,25.6,270.25,23.41
362.7,25.5,268.58,23.33
362.8,25.2,266.92,23.26
362.9,24.8,265.25,23.19
363,24.5,263.59,23.11
363.1,24,261.9,23.04
363.2,23.3,260.2,22.97
363.3,22.3,258.5,22.89
363.4,21.2,256.8,22.82
363.5,20,255.1,22.74
363.6,19,253.4,22.66
363.7,18.1,251.7,22.59
363.8,17.4,250.01,22.51
363.9,17.4,248.32,22.44
364,17,246.63,22.36
364.1,16.8,244.94,22.28
364.2,16.5,243.26,22.21
364.3,16.2,241.58,22.13
364.4,15.6,239.9,22.05
364.5,15.1,238.22,21.97
364.6,14.4,236.55,21.9
364.7,14.1,234.88,21.82
364.8,13.8,233.21,21.74
364.9,13.7,231.54,21.66
365,13.7,229.88,21.59
365.1,13.8,228.21,21.51
365.2,13.9,226.55,21.43
365.3,14,224.9,21.35
365.4,14.1,223.24,21.27
365.5,14.4,221.59,21.19
365.6,14.7,219.94,21.11
365.7,15,218.29,21.04
365.8,15.2,216.65,20.96
365.9,15.4,215,20.88
366,15.6,213.36,20.8
366.1,15.9,211.72,20.72
366.2,16.3,210.09,20.64
366.3,16.7,208.46,20.56
366.4,17,206.82,20.48
366.5,17.3,205.2,20.39
366.6,17.6,203.57,20.31
366.7,17.7,201.95,20.23
366.8,17.7,200.33,20.15
366.9,17.6,198.71,20.07
367,17.5,197.09,19.99
367.1,17.4,195.48,19.91
367.2,17.4,193.86,19.82
367.3,17.6,192.26,19.74
367.4,18,190.65,19.66
367.5,18.4,189.04,19.58
367.6,18.6,187.44,19.49
367.7,18.7,185.84,19.41
367.8,18.4,184.25,19.33
367.9,18,182.65,19.24
368,17.4,181.06,19.16
368.1,17.1,179.47,19.07
368.2,17.1,177.88,18.99
368.3,17.3,176.29,18.9
368.4,17.7,174.7,18.82
368.5,18.4,173.12,18.73
368.6,19.1,171.57,18.65
368.7,19.8,170.02,18.56
368.8,20.6,168.46,18.48
368.9,21.7,166.91,18.39
369,23,165.35,18.31
369.1,24.8,163.8,18.22
369.2,27.1,162.25,18.13
369.3,29.9,160.69,18.05
369.4,32.6,159.14,17.96
369.5,34.6,157.58,17.87
369.6,35.3,156.05,17.79
369.7,34.7,154.53,17.7
369.8,32.9,153.01,17.61
369.9,30.8,151.5,17.52
370,28.9,149.98,17.44
370.1,27.5,148.46,17.35
370.2,26.7,146.95,17.26
370.3,26.4,145.43,17.17
370.4,26.2,143.91,17.08
370.5,26.1,142.39,16.99
370.6,25.8,140.88,16.9
370.7,25.5,139.36,16.81
370.8,25,137.84,16.72
370.9,24.6,136.33,16.62
371,24.1,134.81,16.53
371.1,24,133.29,16.44
371.2,24,131.78,16.34
371.3,24,130.26,16.25
371.4,23.8,128.74,16.15
371.5,23.3,127.22,16.06
371.6,22.6,125.71,15.96
371.7,21.7,124.19,15.87
371.8,20.7,122.67,15.77
371.9,19.9,121.16,15.67
372,19.2,119.64,15.57
372.1,18.7,118.12,15.47
372.2,18.3,116.61,15.37
372.3,17.8,115.09,15.27
372.4,17.5,113.57,15.17
372.5,17.3,112.05,15.07
372.6,17.3,110.54,14.97
372.7,17.4,109.02,14.87
372.8,17.6,107.5,14.76
372.9,18,105.99,14.66
373,18.2,104.47,14.55
373.1,18.4,102.95,14.45
373.2,18.8,101.44,14.34
373.3,19.7,99.92,14.23
373.4,21.2,98.4,14.12
373.5,23.2,96.88,14.01
373.6,25.7,95.37,13.9
373.7,28.5,93.85,13.79
373.8,30.5,92.33,13.68
373.9,31.4,90.82,13.57
374,30.5,89.3,13.45
374.1,28.7,87.78,13.34
374.2,26.5,86.27,13.22
374.3,24.8,84.75,13.11
374.4,23.7,83.23,12.99
374.5,23.5,81.71,12.87
374.6,23.7,80.2,12.75
374.7,24.2,78.68,12.63
374.8,24.7,77.16,12.51
374.9,25,75.65,12.38
375,25.2,74.13,12.26
375.1,25.3,72.61,12.13
375.2,25.3,71.1,12
375.3,25.1,69.58,11.88
375.4,24.8,68.06,11.75
375.5,24.5,66.54,11.61
375.6,24.1,65.03,11.48
375.7,23.8,63.51,11.35
375.8,23.6,61.99,11.21
375.9,23.5,60.48,11.07
376,23.5,58.96,10.93
376.1,23.5,57.44,10.79
376.2,23.4,55.93,10.65
376.3,23.3,54.41,10.5
376.4,23.2,52.89,10.35
376.5,23.2,51.37,10.2
376.6,23.2,49.86,10.05
376.7,23.2,48.34,9.9
376.8,23.3,46.82,9.74
376.9,23.4,45.31,9.58
377,23.4,43.79,9.42
377.1,23.3,42.27,9.26
377.2,23.1,40.76,9.09
377.3,22.8,39.24,8.92
377.4,22.3,37.72,8.74
377.5,21.7,36.2,8.57
377.6,21,34.69,8.39
377.7,20.6,33.17,8.2
377.8,20.3,31.65,8.01
377.9,20.1,30.14,7.82
378,19.7,28.62,7.62
378.1,19.3,27.1,7.41
378.2,18.8,25.59,7.2
378.3,18.3,24.07,6.98
378.4,17.7,22.55,6.76
378.5,17.3,21.03,6.53
378.6,17.1,19.52,6.29
378.7,17.1,18,6.04
378.8,17.3,16.48,5.78
378.9,17.5,14.97,5.51
379,17.7,13.45,5.22
379.1,17.8,11.93,4.92
379.2,18.1,10.42,4.59
379.3,18.1,8.9,4.25
379.4,18.1,7.4,3.87
379.5,17.8,5.92,3.46
379.6,17.6,4.44,3
379.7,17.4,2.96,2.45
379.8,17.3,1.48,1.73
379.9,17.4,0,0
